Category: All categories

Week,Contigo: (Worldwide)
2015-02-22,100
2015-03-01,95
2015-03-08,94
2015-03-15,97
2015-03-22,92
2015-03-29,90
2015-04-05,95
2015-04-12,92
2015-04-19,92
2015-04-26,93
2015-05-03,92
2015-05-10,89
2015-05-17,91
2015-05-24,90
2015-05-31,91
2015-06-07,95
2015-06-14,93
2015-06-21,94
2015-06-28,89
2015-07-05,90
2015-07-12,91
2015-07-19,89
2015-07-26,90
2015-08-02,87
2015-08-09,88
2015-08-16,90
2015-08-23,89
2015-08-30,88
2015-09-06,86
2015-09-13,84
2015-09-20,85
2015-09-27,89
2015-10-04,86
2015-10-11,85
2015-10-18,84
2015-10-25,84
2015-11-01,81
2015-11-08,82
2015-11-15,79
2015-11-22,87
2015-11-29,85
2015-12-06,82
2015-12-13,85
2015-12-20,83
2015-12-27,84
2016-01-03,77
2016-01-10,78
2016-01-17,79
2016-01-24,79
2016-01-31,76
2016-02-07,78
2016-02-14,78
2016-02-21,76
2016-02-28,75
2016-03-06,75
2016-03-13,74
2016-03-20,73
2016-03-27,74
2016-04-03,73
2016-04-10,76
2016-04-17,77
2016-04-24,72
2016-05-01,75
2016-05-08,74
2016-05-15,78
2016-05-22,76
2016-05-29,78
2016-06-05,77
2016-06-12,74
2016-06-19,74
2016-06-26,73
2016-07-03,79
2016-07-10,79
2016-07-17,77
2016-07-24,77
2016-07-31,73
2016-08-07,83
2016-08-14,81
2016-08-21,81
2016-08-28,88
2016-09-04,85
2016-09-11,78
2016-09-18,79
2016-09-25,78
2016-10-02,78
2016-10-09,79
2016-10-16,75
2016-10-23,75
2016-10-30,73
2016-11-06,75
2016-11-13,76
2016-11-20,75
2016-11-27,77
2016-12-04,76
2016-12-11,77
2016-12-18,71
2016-12-25,75
2017-01-01,71
2017-01-08,78
2017-01-15,80
2017-01-22,84
2017-01-29,88
2017-02-05,83
2017-02-12,82
2017-02-19,74
2017-02-26,74
2017-03-05,71
2017-03-12,73
2017-03-19,73
2017-03-26,74
2017-04-02,72
2017-04-09,69
2017-04-16,71
2017-04-23,73
2017-04-30,74
2017-05-07,74
2017-05-14,70
2017-05-21,72
2017-05-28,70
2017-06-04,67
2017-06-11,72
2017-06-18,73
2017-06-25,73
2017-07-02,73
2017-07-09,77
2017-07-16,77
2017-07-23,80
2017-07-30,82
2017-08-06,78
2017-08-13,76
2017-08-20,76
2017-08-27,76
2017-09-03,71
2017-09-10,71
2017-09-17,74
2017-09-24,72
2017-10-01,73
2017-10-08,71
2017-10-15,72
2017-10-22,67
2017-10-29,66
2017-11-05,69
2017-11-12,73
2017-11-19,73
2017-11-26,75
2017-12-03,73
2017-12-10,72
2017-12-17,71
2017-12-24,69
2017-12-31,70
2018-01-07,73
2018-01-14,70
2018-01-21,68
2018-01-28,65
2018-02-04,66
2018-02-11,67
2018-02-18,66
2018-02-25,67
2018-03-04,65
2018-03-11,63
2018-03-18,63
2018-03-25,62
2018-04-01,63
2018-04-08,66
2018-04-15,67
2018-04-22,65
2018-04-29,63
2018-05-06,64
2018-05-13,62
2018-05-20,62
2018-05-27,64
2018-06-03,63
2018-06-10,65
2018-06-17,62
2018-06-24,63
2018-07-01,63
2018-07-08,66
2018-07-15,71
2018-07-22,67
2018-07-29,67
2018-08-05,66
2018-08-12,67
2018-08-19,67
2018-08-26,66
2018-09-02,66
2018-09-09,63
2018-09-16,64
2018-09-23,64
2018-09-30,63
2018-10-07,63
2018-10-14,62
2018-10-21,62
2018-10-28,59
2018-11-04,59
2018-11-11,59
2018-11-18,61
2018-11-25,60
2018-12-02,60
2018-12-09,59
2018-12-16,58
2018-12-23,62
2018-12-30,59
2019-01-06,59
2019-01-13,60
2019-01-20,57
2019-01-27,66
2019-02-03,81
2019-02-10,69
2019-02-17,64
2019-02-24,60
2019-03-03,58
2019-03-10,61
2019-03-17,62
2019-03-24,60
2019-03-31,59
2019-04-07,62
2019-04-14,59
2019-04-21,65
2019-04-28,63
2019-05-05,64
2019-05-12,71
2019-05-19,79
2019-05-26,73
2019-06-02,71
2019-06-09,69
2019-06-16,73
2019-06-23,71
2019-06-30,74
2019-07-07,75
2019-07-14,74
2019-07-21,79
2019-07-28,79
2019-08-04,79
2019-08-11,79
2019-08-18,76
2019-08-25,91
2019-09-01,79
2019-09-08,76
2019-09-15,73
2019-09-22,75
2019-09-29,72
2019-10-06,72
2019-10-13,71
2019-10-20,71
2019-10-27,70
2019-11-03,72
2019-11-10,71
2019-11-17,71
2019-11-24,71
2019-12-01,71
2019-12-08,68
2019-12-15,70
2019-12-22,70
2019-12-29,71
2020-01-05,66
2020-01-12,69
2020-01-19,67
2020-01-26,66
2020-02-02,64
2020-02-09,66
2020-02-16,65
