Category: All categories

Week,reusable: (Worldwide)
2015-02-22,27
2015-03-01,28
2015-03-08,27
2015-03-15,25
2015-03-22,24
2015-03-29,25
2015-04-05,24
2015-04-12,26
2015-04-19,29
2015-04-26,28
2015-05-03,26
2015-05-10,26
2015-05-17,26
2015-05-24,23
2015-05-31,26
2015-06-07,24
2015-06-14,26
2015-06-21,26
2015-06-28,24
2015-07-05,25
2015-07-12,27
2015-07-19,24
2015-07-26,27
2015-08-02,26
2015-08-09,26
2015-08-16,26
2015-08-23,27
2015-08-30,26
2015-09-06,27
2015-09-13,25
2015-09-20,25
2015-09-27,26
2015-10-04,26
2015-10-11,28
2015-10-18,26
2015-10-25,25
2015-11-01,28
2015-11-08,29
2015-11-15,27
2015-11-22,30
2015-11-29,33
2015-12-06,31
2015-12-13,29
2015-12-20,34
2015-12-27,34
2016-01-03,32
2016-01-10,28
2016-01-17,30
2016-01-24,30
2016-01-31,29
2016-02-07,26
2016-02-14,27
2016-02-21,27
2016-02-28,28
2016-03-06,27
2016-03-13,25
2016-03-20,26
2016-03-27,26
2016-04-03,28
2016-04-10,28
2016-04-17,29
2016-04-24,28
2016-05-01,28
2016-05-08,27
2016-05-15,27
2016-05-22,29
2016-05-29,25
2016-06-05,26
2016-06-12,26
2016-06-19,28
2016-06-26,26
2016-07-03,26
2016-07-10,27
2016-07-17,27
2016-07-24,26
2016-07-31,26
2016-08-07,25
2016-08-14,27
2016-08-21,28
2016-08-28,28
2016-09-04,27
2016-09-11,27
2016-09-18,27
2016-09-25,28
2016-10-02,26
2016-10-09,29
2016-10-16,26
2016-10-23,26
2016-10-30,28
2016-11-06,32
2016-11-13,37
2016-11-20,31
2016-11-27,34
2016-12-04,34
2016-12-11,32
2016-12-18,33
2016-12-25,32
2017-01-01,33
2017-01-08,32
2017-01-15,34
2017-01-22,32
2017-01-29,31
2017-02-05,29
2017-02-12,28
2017-02-19,29
2017-02-26,31
2017-03-05,31
2017-03-12,30
2017-03-19,31
2017-03-26,33
2017-04-02,32
2017-04-09,30
2017-04-16,33
2017-04-23,32
2017-04-30,33
2017-05-07,32
2017-05-14,30
2017-05-21,30
2017-05-28,36
2017-06-04,34
2017-06-11,33
2017-06-18,32
2017-06-25,33
2017-07-02,34
2017-07-09,37
2017-07-16,37
2017-07-23,34
2017-07-30,35
2017-08-06,35
2017-08-13,35
2017-08-20,34
2017-08-27,30
2017-09-03,34
2017-09-10,33
2017-09-17,33
2017-09-24,32
2017-10-01,31
2017-10-08,33
2017-10-15,34
2017-10-22,33
2017-10-29,34
2017-11-05,35
2017-11-12,37
2017-11-19,36
2017-11-26,40
2017-12-03,41
2017-12-10,40
2017-12-17,38
2017-12-24,39
2017-12-31,46
2018-01-07,46
2018-01-14,41
2018-01-21,40
2018-01-28,39
2018-02-04,42
2018-02-11,40
2018-02-18,40
2018-02-25,40
2018-03-04,38
2018-03-11,39
2018-03-18,39
2018-03-25,39
2018-04-01,40
2018-04-08,42
2018-04-15,48
2018-04-22,49
2018-04-29,45
2018-05-06,47
2018-05-13,41
2018-05-20,41
2018-05-27,43
2018-06-03,51
2018-06-10,48
2018-06-17,48
2018-06-24,49
2018-07-01,51
2018-07-08,54
2018-07-15,56
2018-07-22,52
2018-07-29,54
2018-08-05,51
2018-08-12,51
2018-08-19,49
2018-08-26,45
2018-09-02,46
2018-09-09,43
2018-09-16,43
2018-09-23,43
2018-09-30,45
2018-10-07,46
2018-10-14,43
2018-10-21,44
2018-10-28,66
2018-11-04,53
2018-11-11,54
2018-11-18,52
2018-11-25,59
2018-12-02,59
2018-12-09,60
2018-12-16,54
2018-12-23,50
2018-12-30,55
2019-01-06,55
2019-01-13,57
2019-01-20,57
2019-01-27,53
2019-02-03,52
2019-02-10,49
2019-02-17,50
2019-02-24,50
2019-03-03,52
2019-03-10,50
2019-03-17,51
2019-03-24,57
2019-03-31,53
2019-04-07,54
2019-04-14,53
2019-04-21,64
2019-04-28,80
2019-05-05,70
2019-05-12,63
2019-05-19,61
2019-05-26,62
2019-06-02,64
2019-06-09,68
2019-06-16,72
2019-06-23,67
2019-06-30,62
2019-07-07,66
2019-07-14,64
2019-07-21,64
2019-07-28,64
2019-08-04,63
2019-08-11,66
2019-08-18,63
2019-08-25,61
2019-09-01,63
2019-09-08,63
2019-09-15,60
2019-09-22,60
2019-09-29,61
2019-10-06,58
2019-10-13,60
2019-10-20,60
2019-10-27,55
2019-11-03,100
2019-11-10,72
2019-11-17,68
2019-11-24,69
2019-12-01,79
2019-12-08,77
2019-12-15,70
2019-12-22,64
2019-12-29,69
2020-01-05,74
2020-01-12,70
2020-01-19,68
2020-01-26,78
2020-02-02,68
2020-02-09,65
2020-02-16,69
